,0
0,31235.48
1,31225.754000000004
2,6083.874000000001
3,11396.606000000002
4,3733.2129999999997
5,18099.067
6,17162.870999999996
7,878.028
8,105626.146
9,107.00900000000001
10,10142.078
11,9942.1
12,39423.77699999999
13,58.96900000000001
14,22379.049000000003
15,16282.048
16,23.583999999999996
17,59635.78199999999
18,1401.556
19,52.012000000000015
20,9777.221000000001
21,116048.41
22,997.3460000000001
23,2588.3730000000005
24,168.61500000000004
25,729.923
26,65078.239
27,9999.719000000001
28,6376.160999999999
29,14518.141
30,1737.107
31,74779.40400000001
32,7794.399
33,10829.483000000002
34,4911.916
35,9873.731
36,132.63299999999998
37,5933.769000000001
38,23536.596
39,50.05300000000001
40,101773.138
41,3350.34
42,54185.384
43,17933.082
44,74.082
45,8530.857
46,63701.77299999999
47,18390.068
48,5995.937
49,41.984
50,10959.641
51,143.155
52,11623.378999999999
53,615.985
54,20499.914999999997
55,6834.7339999999995
56,108.178
57,55049.30500000001
58,109382.022
59,10438.632
60,51920.642
61,3359.075
62,26326.843
63,2316.696
64,89917.085
65,4916.464
66,28328.599
67,57.866
68,1937.8470000000002
69,32313.716999999997
70,35765.188
71,5515.538
72,88515.71500000001
73,32469.413999999997
74,518.382
75,36944.309
76,125441.67699999998
77,1400.818
78,4386.212
79,40302.47600000001
80,47096.26899999999
81,32.397000000000006
82,31673.269999999997
83,8230.221
84,42678.094
85,1185.8479999999997
86,50231.115999999995
87,1271.8
88,55530.53199999999
89,45580.7
90,41992.058000000005
91,1208.451
92,16957.059
93,28149.177000000003
94,18074.268000000004
95,33255.585999999996
96,13573.929
97,5903.659
98,742.6569999999999
99,6000.862999999999
100,8623.387999999999
101,32908.752
102,41326.045
103,8518.903
104,7.062000000000002
105,47.089
106,345.06999999999994
107,10817.573
108,38018.365999999995
109,23298.538
110,916.001
111,2469.067
112,620.948
113,11569.261
114,6232.3009999999995
115,21.074
116,8605.056999999999
117,28933.643000000004
118,13027.789999999999
119,45321.448
120,1208.1039999999998
121,525.2520000000001
122,9527.835000000001
123,15620.046000000002
124,5650.290999999999
125,10581.85
126,4043.5
127,2581.84
128,24431.651
129,62279.003000000004
130,5283.1399999999985
131,4347.49
132,41587.32
133,38831.599
134,37550.73700000001
135,12879.695000000002
136,23376.371999999996
137,3415.1060000000007
138,60415.616
139,8227.873000000001
140,70.99600000000001
141,58650.549
142,657.8
143,13280.852000000003
144,36331.224
145,13868.035000000003
146,12468.234000000002
147,5581.552000000001
148,20875.594000000005
149,7392.133000000002
150,6781.482000000001
151,800.4599999999999
152,9801.362
153,7875.573000000001
154,27937.821999999996
155,31785.912
156,6711.204000000001
157,93152.675
158,50.744
159,23570.066
160,24796.487999999998
161,79097.62200000002
162,13494.494999999999
163,10490.568000000003
164,20.115000000000002
165,56552.215000000004
166,17360.068
167,16961.644000000004
168,5230.26
169,21979.996999999996
170,22351.123000000003
171,26253.298
172,21312.132
173,11111.011
174,45701.248999999996
175,748.2209999999999
176,25833.398
177,16997.656000000003
178,34862.71000000001
179,815.8
180,2466.04
181,5770.8949999999995
182,6614.508
183,65230.16399999999
184,16366.919999999998
185,19268.133000000005
186,388.28000000000003
187,3677.7230000000004
188,20832.256999999998
189,8173.596
190,2940.282
191,3297.4480000000003
192,16597.758
193,6826.569
194,41573.255000000005
195,668.932
196,6401.238
197,42383.994000000006
198,8952.675
199,1355.9579999999999
200,6062.838
201,6129.558
202,34.631
203,17436.424000000003
204,19141.860999999997
205,6882.823000000001
206,5035.41
207,2878.24
208,6454.626
209,23466.808000000005
210,5925.973
211,140243.58800000002
212,4624.4580000000005
213,1462.8349999999998
214,481.7209999999999
215,24369.874999999996
216,60468.92499999999
217,16761.818
218,3919.214
219,2949.0649999999996
220,22096.881
221,3585.6
222,65234.787999999986
223,51274.725
224,24553.349
225,11098.331999999999
226,20208.116
227,14160.751999999999
228,46176.613999999994
229,42748.186
230,112159.33200000001
231,18631.329999999998
232,7883.751999999999
233,7239.964999999999
234,9649.446
235,2722.951
236,43306.547999999995
237,5369.134
238,22824.219
239,4105.405000000001
240,17958.621000000003
241,1539.9669999999999
242,29236.442
243,1933.452
244,1929.734
245,18346.071
246,15895.578999999998
247,33369.281
248,24597.024999999998
249,71367.202
